Origin Time:2020/07/26 20:52:29
Lon:122.42°E
Lat:24.26°N
Depth:53.6km
Mag:6.2
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 180.75,AZ= 76.59,PGA(V)=   2.10,PGA(NS)=   2.11,PGA(EW)=   2.65,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.66,PGV(SUM)=   0.16
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 181.09,AZ= 93.25,PGA(V)=   0.86,PGA(NS)=   1.37,PGA(EW)=   0.97,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.38,PGV(SUM)=   0.13
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 181.24,AZ= 77.71,PGA(V)=   1.94,PGA(NS)=   2.03,PGA(EW)=   1.82,PGV(V)=   0.12,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.19,PGV(SUM)=   0.16
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 183.46,AZ= 63.20,PGA(V)=   1.34,PGA(NS)=   2.74,PGA(EW)=   3.91,PGV(V)=   0.09,PGV(NS)=   0.21,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   4.46,PGV(SUM)=   0.33
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist= 185.11,AZ= 50.28,PGA(V)=   2.50,PGA(NS)=   4.24,PGA(EW)=   3.71,PGV(V)=   0.11,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   4.98,PGV(SUM)=   0.20
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 190.01,AZ= 80.11,PGA(V)=   3.29,PGA(NS)=   5.23,PGA(EW)=   4.28,PGV(V)=   0.18,PGV(NS)=   0.48,PGV(EW)=   0.38,Int= 2級,PGA(SUM)=   6.30,PGV(SUM)=   0.52
Stacode=WCH1,Staname=彰化市,Stalon=120.55,Stalat=24.07,Dist= 191.57,AZ= 83.91,PGA(V)=   1.62,PGA(NS)=   3.34,PGA(EW)=   3.83,PGV(V)=   0.13,PGV(NS)=   0.26,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   3.81,PGV(SUM)=   0.32
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 191.90,AZ= 67.69,PGA(V)=   1.72,PGA(NS)=   5.25,PGA(EW)=   6.20,PGV(V)=   0.14,PGV(NS)=   0.53,PGV(EW)=   0.51,Int= 3級,PGA(SUM)=   8.10,PGV(SUM)=   0.68
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 192.75,AZ= 90.04,PGA(V)=   0.91,PGA(NS)=   1.26,PGA(EW)=   1.27,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.19
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 198.71,AZ= 71.45,PGA(V)=   1.76,PGA(NS)=   6.17,PGA(EW)=   4.22,PGV(V)=   0.17,PGV(NS)=   0.48,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   6.23,PGV(SUM)=   0.53
