Origin Time:2024/11/07 01:19:39
Lon:121.55¢XE
Lat:23.56¢XN
Depth:32.5km
Mag:5.5
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist= 126.18,BAZ=159.56,PGA(V)=   0.70,PGA(NS)=   0.88,PGA(EW)=   1.07,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.06
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 126.48,BAZ=115.46,PGA(V)=   9.90,PGA(NS)=  15.16,PGA(EW)=  13.89,PGV(V)=   0.21,PGV(NS)=   0.51,PGV(EW)=   0.33,Int= 3¯Å,PGA(SUM)=  16.58,PGV(SUM)=   0.57
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 126.98,BAZ=133.11,PGA(V)=   1.06,PGA(NS)=   2.67,PGA(EW)=   3.65,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   3.90,PGV(SUM)=   0.27
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist= 128.49,BAZ=185.98,PGA(V)=   0.74,PGA(NS)=   0.88,PGA(EW)=   1.05,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.05
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist= 128.94,BAZ= 84.71,PGA(V)=   2.32,PGA(NS)=   4.18,PGA(EW)=   5.01,PGV(V)=   0.08,PGV(NS)=   0.24,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   4.90,PGV(SUM)=   0.31
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 129.72,BAZ=126.23,PGA(V)=   2.61,PGA(NS)=   3.01,PGA(EW)=   3.23,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   3.69,PGV(SUM)=   0.26
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist= 130.19,BAZ= 45.77,PGA(V)=   1.06,PGA(NS)=   1.71,PGA(EW)=   1.25,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.83,PGV(SUM)=   0.12
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist= 130.23,BAZ=154.95,PGA(V)=   0.47,PGA(NS)=   0.73,PGA(EW)=   1.06,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.08
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist= 131.64,BAZ=155.60,PGA(V)=   0.54,PGA(NS)=   1.34,PGA(EW)=   1.02,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.06
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist= 131.76,BAZ= 55.21,PGA(V)=   2.71,PGA(NS)=   3.81,PGA(EW)=   5.47,PGV(V)=   0.16,PGV(NS)=   0.27,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   5.46,PGV(SUM)=   0.28
