Origin Time:2024/09/07 13:16:50
Lon:121.69¢XE
Lat:23.96¢XN
Depth:29.5km
Mag:5.3
Stacode=TAP ,Staname=»O¥_¥«,Stalon=121.51,Stalat=25.04,Dist= 121.03,BAZ=171.41,PGA(V)=   0.66,PGA(NS)=   0.92,PGA(EW)=   0.64,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.08
Stacode=NTY ,Staname=®ç¶é¥«,Stalon=121.30,Stalat=25.00,Dist= 122.20,BAZ=160.90,PGA(V)=   0.68,PGA(NS)=   1.01,PGA(EW)=   1.14,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.07
Stacode=NCU ,Staname=¤¤Ãc  ,Stalon=121.19,Stalat=24.97,Dist= 123.03,BAZ=155.40,PGA(V)=   0.72,PGA(NS)=   1.17,PGA(EW)=   0.57,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.12
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 123.35,BAZ=105.60,PGA(V)=   0.80,PGA(NS)=   0.94,PGA(EW)=   1.11,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.11
Stacode=NWF ,Staname=¤­¤À¤s,Stalon=121.78,Stalat=25.07,Dist= 123.76,BAZ=184.19,PGA(V)=   0.74,PGA(NS)=   1.56,PGA(EW)=   2.07,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.40,PGV(SUM)=   0.15
Stacode=NXZ ,Staname=¦Á¤î  ,Stalon=121.64,Stalat=25.08,Dist= 124.09,BAZ=177.57,PGA(V)=   0.81,PGA(NS)=   2.01,PGA(EW)=   1.39,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.09,PGV(SUM)=   0.08
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 124.22,BAZ= 81.37,PGA(V)=   1.30,PGA(NS)=   1.79,PGA(EW)=   2.56,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.69,PGV(SUM)=   0.14
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 124.88,BAZ= 62.62,PGA(V)=   1.25,PGA(NS)=   3.26,PGA(EW)=   0.00,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.00,Int= 2¯Å,PGA(SUM)=   3.21,PGV(SUM)=   0.14
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist= 126.77,BAZ= 47.19,PGA(V)=   0.65,PGA(NS)=   0.81,PGA(EW)=   0.86,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.05
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 128.83,BAZ= 94.83,PGA(V)=   1.78,PGA(NS)=   2.15,PGA(EW)=   2.29,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.25,PGV(SUM)=   0.15
