Origin Time:2024/04/03 08:46:44
Lon:121.70¢XE
Lat:24.19¢XN
Depth:6.1km
Mag:5.6
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=   8.39,BAZ= 69.41,PGA(V)=  83.89,PGA(NS)= 412.80,PGA(EW)= 141.92,PGV(V)=   1.93,PGV(NS)=  11.14,PGV(EW)=   3.59,Int= 4¯Å,PGA(SUM)= 293.50,PGV(SUM)=  11.40
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 108.05,BAZ= 71.55,PGA(V)=   0.65,PGA(NS)=   1.13,PGA(EW)=   0.94,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.12
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 108.21,BAZ= 73.46,PGA(V)=   1.59,PGA(NS)=   1.33,PGA(EW)=   1.35,PGV(V)=   0.12,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.20
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 109.10,BAZ= 99.49,PGA(V)=   0.78,PGA(NS)=   1.14,PGA(EW)=   1.15,PGV(V)=   0.17,PGV(NS)=   0.25,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.25
Stacode=NTS ,Staname=²H¤ô  ,Stalon=121.45,Stalat=25.16,Dist= 111.38,BAZ=166.82,PGA(V)=   1.07,PGA(NS)=   2.31,PGA(EW)=   1.34,PGV(V)=   0.12,PGV(NS)=   0.36,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.37
Stacode=NHW ,Staname=·s«Î  ,Stalon=121.05,Stalat=25.01,Dist= 112.45,BAZ=144.01,PGA(V)=   0.52,PGA(NS)=   1.63,PGA(EW)=   1.63,PGV(V)=   0.13,PGV(NS)=   0.29,PGV(EW)=   0.32,Int= 1¯Å,PGA(SUM)=   1.75,PGV(SUM)=   0.33
Stacode=NWR ,Staname=¸U¨½  ,Stalon=121.66,Stalat=25.20,Dist= 112.69,BAZ=177.96,PGA(V)=   0.52,PGA(NS)=   1.15,PGA(EW)=   0.86,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.20,PGV(SUM)=   0.12
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 116.60,BAZ= 77.67,PGA(V)=   1.41,PGA(NS)=   3.66,PGA(EW)=   2.73,PGV(V)=   0.14,PGV(NS)=   0.54,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   4.08,PGV(SUM)=   0.55
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 116.66,BAZ= 84.23,PGA(V)=   1.43,PGA(NS)=   3.24,PGA(EW)=   3.61,PGV(V)=   0.22,PGV(NS)=   0.38,PGV(EW)=   0.48,Int= 2¯Å,PGA(SUM)=   3.67,PGV(SUM)=   0.55
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist= 116.85,BAZ= 20.77,PGA(V)=   1.16,PGA(NS)=   1.65,PGA(EW)=   2.20,PGV(V)=   0.15,PGV(NS)=   0.22,PGV(EW)=   0.26,Int= 1¯Å,PGA(SUM)=   2.32,PGV(SUM)=   0.28
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 117.39,BAZ= 50.31,PGA(V)=   0.62,PGA(NS)=   1.99,PGA(EW)=   1.69,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   2.26,PGV(SUM)=   0.21
