Origin Time:2025/04/09 09:53:25
Lon:121.81¢XE
Lat:24.60¢XN
Depth:72.4km
Mag:5.8
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 135.71,BAZ= 73.84,PGA(V)=   1.68,PGA(NS)=   2.02,PGA(EW)=   2.17,PGV(V)=   0.19,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.08,PGV(SUM)=   0.19
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 137.78,BAZ= 56.28,PGA(V)=   3.79,PGA(NS)=   4.41,PGA(EW)=   3.49,PGV(V)=   0.15,PGV(NS)=   0.18,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   5.17,PGV(SUM)=   0.20
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 138.67,BAZ= 54.84,PGA(V)=   1.17,PGA(NS)=   3.77,PGA(EW)=   3.50,PGV(V)=   0.05,PGV(NS)=   0.21,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   4.42,PGV(SUM)=   0.24
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 139.28,BAZ= 65.67,PGA(V)=   3.00,PGA(NS)=   9.00,PGA(EW)=   8.97,PGV(V)=   0.09,PGV(NS)=   0.28,PGV(EW)=   0.28,Int= 3¯Å,PGA(SUM)=   9.44,PGV(SUM)=   0.30
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist= 139.29,BAZ= 44.20,PGA(V)=   2.45,PGA(NS)=   5.59,PGA(EW)=   4.47,PGV(V)=   0.08,PGV(NS)=   0.23,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   5.86,PGV(SUM)=   0.27
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist= 139.42,BAZ= 51.95,PGA(V)=   1.53,PGA(NS)=   2.33,PGA(EW)=   1.80,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.11
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 143.34,BAZ= 60.51,PGA(V)=   2.99,PGA(NS)=   4.22,PGA(EW)=   3.97,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   4.62,PGV(SUM)=   0.20
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist= 146.50,BAZ= 14.39,PGA(V)=   0.89,PGA(NS)=   2.37,PGA(EW)=   2.24,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.26,PGV(SUM)=   0.09
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist= 147.19,BAZ= 19.79,PGA(V)=   0.63,PGA(NS)=   1.15,PGA(EW)=   1.15,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.07
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist= 150.29,BAZ= 35.09,PGA(V)=   0.90,PGA(NS)=   3.68,PGA(EW)=   3.68,PGV(V)=   0.04,PGV(NS)=   0.24,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   3.88,PGV(SUM)=   0.26
