Origin Time:2024/04/22 00:35:52
Lon:121.67¢XE
Lat:24.19¢XN
Depth:32.2km
Mag:5.4
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist= 100.13,BAZ= 20.63,PGA(V)=   0.81,PGA(NS)=   1.31,PGA(EW)=   1.40,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.73,PGV(SUM)=   0.12
Stacode=TWS1,Staname=¤­ªÑ  ,Stalon=121.42,Stalat=25.10,Dist= 103.52,BAZ=166.32,PGA(V)=   0.73,PGA(NS)=   1.13,PGA(EW)=   0.79,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.09
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist= 103.86,BAZ= 66.67,PGA(V)=   1.15,PGA(NS)=   2.25,PGA(EW)=   2.48,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   2.90,PGV(SUM)=   0.22
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 104.98,BAZ= 70.48,PGA(V)=   1.01,PGA(NS)=   3.55,PGA(EW)=   2.96,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.29,PGV(SUM)=   0.14
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 105.08,BAZ= 72.44,PGA(V)=   2.10,PGA(NS)=   2.53,PGA(EW)=   2.59,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.01,PGV(SUM)=   0.19
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 105.47,BAZ= 99.34,PGA(V)=   0.86,PGA(NS)=   1.73,PGA(EW)=   1.61,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   1.76,PGV(SUM)=   0.19
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist= 106.23,BAZ= 42.60,PGA(V)=   1.02,PGA(NS)=   2.92,PGA(EW)=   2.75,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.62,PGV(SUM)=   0.20
Stacode=NOU ,Staname=°ò¶©¥«,Stalon=121.77,Stalat=25.15,Dist= 106.46,BAZ=185.89,PGA(V)=   0.37,PGA(NS)=   0.43,PGA(EW)=   0.69,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.05
Stacode=NHW ,Staname=·s«Î  ,Stalon=121.05,Stalat=25.01,Dist= 109.68,BAZ=145.23,PGA(V)=   0.43,PGA(NS)=   1.70,PGA(EW)=   1.50,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.80,PGV(SUM)=   0.09
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 113.23,BAZ= 83.61,PGA(V)=   2.56,PGA(NS)=   4.67,PGA(EW)=   5.02,PGV(V)=   0.10,PGV(NS)=   0.20,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   6.27,PGV(SUM)=   0.22
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 115.26,BAZ= 48.84,PGA(V)=   1.19,PGA(NS)=   2.48,PGA(EW)=   1.88,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.40,PGV(SUM)=   0.11
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 116.19,BAZ= 93.46,PGA(V)=   1.03,PGA(NS)=   1.48,PGA(EW)=   1.45,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.16
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist= 116.48,BAZ= 18.98,PGA(V)=   0.84,PGA(NS)=   2.34,PGA(EW)=   2.05,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.83,PGV(SUM)=   0.10
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 120.37,BAZ= 56.73,PGA(V)=   1.39,PGA(NS)=   3.18,PGA(EW)=   3.63,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   3.73,PGV(SUM)=   0.21
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist= 124.81,BAZ= 22.04,PGA(V)=   0.89,PGA(NS)=   1.62,PGA(EW)=   1.05,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.67,PGV(SUM)=   0.09
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 124.90,BAZ= 63.17,PGA(V)=   1.82,PGA(NS)=   4.00,PGA(EW)=   3.50,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   3.69,PGV(SUM)=   0.23
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist= 124.94,BAZ= 13.80,PGA(V)=   1.19,PGA(NS)=   3.17,PGA(EW)=   3.26,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.61,PGV(SUM)=   0.16
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 126.33,BAZ= 65.20,PGA(V)=   3.61,PGA(NS)=   4.31,PGA(EW)=   6.05,PGV(V)=   0.10,PGV(NS)=   0.21,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   6.44,PGV(SUM)=   0.33
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 126.46,BAZ= 83.05,PGA(V)=   1.77,PGA(NS)=   3.04,PGA(EW)=   2.85,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.00,PGV(SUM)=   0.19
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 128.06,BAZ= 69.53,PGA(V)=   2.29,PGA(NS)=   4.42,PGA(EW)=   6.62,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   6.19,PGV(SUM)=   0.27
